2308 vloume (thousand),2360,3665,1536,1503,4721,2371,1537,1723,6509,8183,1533,2308 foreign investment (m),2308 investment credit (m),2308 dealer (m),MA20,MA60,MACD,RSI,slowk,slowd,taiwan_index,SP500
846519,0.005780347,-0.011111111,-0.032418953,-0.01453958,0.016666667,0.004497751,0.017605446,-0.008810573,-0.006377936,-0.015151254,-0.008474908,147.59,11.11,19.57,253.475,234.3687417,8.510911553,69.7339342,81.79012346,79.90661602,-0.007392553,-0.034368409
1755540,0.020114943,0.014446228,0.011597938,0.003278689,-0.016393443,0.005970149,0,0.008888889,0.003851325,0.07791754,0.010256472,-316.15,50.62,23.85,255.1,235.2394683,8.493990939,70.09910153,89.19753086,83.33333333,0.017325768,-0.00699358
2807924,0.014084507,-0.001582278,-0.012738854,0.017973856,0.025,-0.017804154,0.010380369,0.008810573,0.069055256,0.027552674,-0.001691774,221.14,154.22,7.34,256.75,236.02086,8.942340988,74.70113431,91.66666667,87.55144033,0.005995585,-0.032037135
2352370,0.016666667,-0.014263074,0.001290323,0.009630819,0.004065041,0.010574018,0.003425054,0.013100437,-0.002392486,-0.001577287,-0.003389282,-23.44,11.72,-48.78,257.85,236.8570883,9.231591414,74.99714791,84.72222222,88.52880658,0.008396903,0.002457883
2091365,0.013661202,-0.012861736,-0.016752577,-0.004769475,0.020242915,0.034379671,-0.003413363,-0.00862069,0.050360227,0.020537125,0.011904538,-716.09,-143.11,46.46,259.3,237.7367317,8.914262358,65.86740512,83.48765432,86.6255144,0.000208856,-0.016463178
1934572,-0.018867925,0.009771987,0.003931848,0.001597444,0.031746032,-0.002890173,-0.010273724,0.017391304,0.003424859,0.007739938,0.015125287,691.58,32.06,-65.76,260.625,238.6157917,9.122460251,70.7481602,76.47011046,81.55999567,0.002910398,-0.001296002
1037940,0.010989011,0.014516129,0.009138381,-0.003189793,-0.019230769,0.013043478,0.006920488,-0.008547009,-0.007964061,-0.00921659,0.029801506,137.89,21.53,-35.43,261.8,239.5762433,9.061960477,68.48814674,82.22407872,80.72728117,-0.004441513,0.023869743
1581017,0,-0.011128776,-0.001293661,-0.0096,0.007843137,0.018597997,0.007220217,-0.004310345,0.00344057,-0.009302326,0.009646359,-72.21,-26.98,42.51,262.925,240.496,8.911290165,68.48814674,73.93483709,77.54300876,0.000780684,-0.00394643
882055,-0.008152174,-0.01607717,0.034974093,0.021001616,0.003891051,-0.005617978,0,0,0.002285849,0.012519562,0.003184199,304.11,-22.62,-16.08,264.15,241.3913383,8.691690459,68.48814674,67.61904762,74.59265448,-0.010619919,0.02016961
798121,-0.01369863,-0.008169935,-0.006257822,-0.012658228,0.019379845,-0.028248588,0.003584229,0.012987013,0.005699242,-0.018547141,-0.011110916,200.02,-28.34,6.54,265.1,242.11459,8.420588805,68.48814674,48.57142857,63.37510443,-0.009790005,-0.040395221
1469735,-0.002777778,-0.02306425,-0.049118388,-0.006410256,0.015209125,-0.014534884,-0.003571429,0.004273504,-0.004533089,-0.034645669,-0.00641951,95.13,-73.03,45.55,265.95,242.66556,7.872909858,63.06842959,30.55900621,48.91649413,-0.001768693,-0.005833809
1831431,0.002785515,0.018549747,0.017218543,-0.001612903,-0.003745318,0.007374631,-0.007168459,-0.004255319,-0.009112151,0.019575856,0.014538843,103.21,5.85,-118.1,266.6,243.1843633,7.074894617,57.36495708,20.55900621,33.22981366,0.00868328,0.000146124
1149677,-0.013888889,-0.008278146,0.006510417,0.008077544,-0.015037594,0.014641288,0.014440433,-0.008547009,-0.009195946,-0.0144,-0.001592099,237.1,-14.15,-8.01,266.9,243.7198333,6.4488155,58.51918417,29.13043478,26.7494824,0.005157881,0.018555068
844714,0.005633803,-0.005008347,0.012936611,0.008012821,0.015267176,0.005772006,0.003558719,0.017241379,0.033642312,0.037337662,0.015949587,153.03,-85.76,130.52,267.4,244.3366933,5.964578979,59.69428694,36.66666667,28.78536922,-0.023055364,-0.008120793
1514202,0.019607843,0.008389262,0.099616858,0.004769475,0.011278195,-0.008608321,0.014184397,0,0.001154734,0.062597809,-0.014129588,302.84,-70.75,-46.63,267.6,244.8211917,5.517218981,59.69428694,31.66666667,32.48792271,0.001838379,0.009450765
1659766,-0.019230769,0.091514143,0.022067364,-0.022151899,-0.022304833,0.017366136,-0.013986014,-0.021186441,-0.029988466,-0.011782032,-0.031846787,-20.74,4.46,-81.9,267.875,245.42836,4.665102527,50.55834257,28.33333333,32.22222222,0.009483316,0.019883229
1484757,0.025210084,0.038109756,-0.009090909,0.01618123,0.02661597,-0.024182077,0.003546099,0.008658009,0.024970273,0.005961252,0.01809248,184.01,-50.16,-8.45,267.825,245.9944433,4.063984478,52.68516513,25.60606061,28.53535354,-0.019448257,0.024742227
1276425,0.030054645,-0.001468429,0.006880734,0.012738854,0.014814815,0.005830904,-0.003533569,0.004291845,0.012761021,-0.007407407,0.01615409,-275.36,-50.5,11.31,267.7,246.4773883,3.466937751,51.10678987,28.93939394,27.62626263,-0.00870296,-0.006274289
1935481,-0.00530504,-0.013235294,0.003416856,-0.023584906,-0.018248175,-0.004347826,0.003546099,-0.008547009,-0.024054983,-0.001492537,0.007949441,-248.42,-92.8,-110.38,267.325,246.8694433,2.600682478,44.6275747,21.5034965,25.34965035,-0.000813737,-0.007482787
1366547,-0.061333333,-0.01490313,-0.005675369,-0.001610306,0.018587361,-0.00727802,0.003533569,-0.004310345,-0.012910798,0.010463378,-0.022081619,-44.63,-16.58,34.94,266.875,247.416335,1.613152762,40.34349508,14.74358974,21.72882673,0.001098144,0.018431056
826213,-0.005681818,-0.02269289,-0.039954338,-0.001612903,-0.025547445,-0.008797654,-0.01056338,-0.008658009,-0.027348395,-0.01183432,-0.032414911,56.72,1.53,-1.28,266.5,247.9884217,0.860949678,41.21171882,18.07692308,18.10800311,-0.018201701,-0.016347365
1079124,0,-0.024767802,0.003567182,0.006462036,-0.041198502,-0.014792899,0,0,-0.02200489,-0.076347305,-0.015075377,56.14,95.53,-5.67,265.75,248.6091483,0.421349544,44.67989776,27.63403263,20.15151515,0.012031187,0.003137368
1109400,0.028571429,-0.036507937,0.014218009,-0.006420546,0.0078125,-0.010510511,-0.003558719,-0.004366812,0.0075,0.008103728,-0.008503401,0,69.39,-61.94,265.525,249.3725133,0.03224574,43.98133753,55.03787879,33.58294483,0.015360594,0.009523394
2085514,0.025,-0.001647446,0.045560748,0.003231018,0.019379845,0,0.007142857,0.00877193,0.009925558,0.019292605,0.005145798,320.26,145.26,10.99,265.675,250.17735,0.604517737,59.12311465,71.70454545,51.45881896,0.005874078,-0.010793909
1399729,0.048780488,0.008250825,0.008938547,0.01610306,-0.019011407,-0.007587253,0.007092199,0,0.023341523,0.009463722,0.015358362,174.15,26.46,2.97,265.425,251.0794683,1.205534058,61.17780416,86.25,70.99747475,-0.015851585,-0.023798706
1468178,0.051679587,0.057283142,0.019933555,-0.011093502,-0.007751938,0.003058104,0.003521127,0,0.010804322,-0.003125,0.005042017,-269,30.67,32.28,265.2,251.7614417,1.58290543,59.56560514,80,79.31818182,0.000800229,-0.029110314
1672029,-0.017199017,-0.004643963,0.031487514,-0.006410256,-0.00390625,-0.006097561,0,-0.008695652,0.004750594,-0.006269592,-0.005016722,-156.51,252.46,-18.22,265.1,252.5827517,1.780755874,57.92179571,79.79166667,82.01388889,-0.00738103,-0.038768374
1286700,0.0125,-0.00466563,-0.012631579,0.016129032,-0.011764706,0.007668712,-0.007017544,0.004385965,0.003546099,-0.011041009,-0.005042017,-1.89,112.53,10.82,264.7,253.181975,2.11490359,60.83192841,60.70075758,73.49747475,-0.009345024,-0.003773706
1838806,-0.019753086,-0.00625,-0.013859275,-0.022222222,-0.015873016,0.00304414,0,-0.017467249,-0.015312132,-0.022328549,-0.016891892,-437.75,-14.02,-32.8,264.525,253.7748067,1.87396629,51.60705173,56.91287879,65.80176768,0.00856944,0.014592502
971495,-0.012594458,-0.023584906,0.004324324,0.003246753,-0.024193548,-0.003034901,0,0,-0.026315789,-0.027732463,-0.012027491,155.21,4.3,-3.23,264.6,254.4416667,2.022816368,56.88757958,57.35930736,58.32431457,-0.008576358,-0.032511959
1200721,0.00255102,-0.001610306,0.00861141,0.006472492,0.020661157,0.00761035,-0.003533569,0.004444444,0.00982801,0.041946309,0.003478261,81.84,7.32,114.09,264.65,255.05,2.275928921,59.02746376,61.54825567,58.60681394,-0.00969807,0.002200847
922441,-0.030534351,-0.017741935,-0.010672359,-0.022508039,0.024291498,-0.00755287,-0.010638298,-0.013274336,0.008515815,-0.012882448,0.010398614,-114.01,1.6,19.76,264.8,255.7583333,2.129211645,53.32653152,65.73295985,61.54684096,-0.011638383,0.024477256
1053837,0.007874016,0.026272578,0.014023732,-0.004934211,0.027667984,0,0.003584229,0.00896861,0.020506634,0.01141925,0.003430532,-35.91,16.47,79.11,264.725,256.5083333,2.229313932,56.70395796,51.44724556,59.57615369,-0.024095541,-0.001301533
875848,-0.03125,-0.04,-0.026595745,0.001652893,-0.019230769,0,-0.003571429,-0.004444444,0.002364066,-0.027419355,-0.025641026,-61.83,66.89,-1.33,264.35,257.1583333,2.003134083,51.97822935,44.44444444,53.87488329,0.003512798,0.009532194
1539495,-0.032258065,-0.046666667,-0.036065574,-0.0330033,-0.058823529,-0.00608828,-0.014336918,-0.035714286,-0.083726415,-0.063018242,-0.061403509,-526.73,98.73,-4.95,264.325,257.875,1.324467432,45.04729189,28.38095238,41.42421413,-0.026074397,0.030563291
1321911,0.022222222,0.026223776,0.060090703,-0.005119454,0.020833333,0.007656968,0.003636364,-0.00462963,0.006435006,0.044247788,0.014953271,-84.1,26.2,79.39,263.725,258.4,0.897313019,46.9517281,14.0952381,28.97354497,0.005063838,-0.002973101
1825158,-0.032608696,-0.056218058,-0.035294118,-0.005145798,-0.085714286,-0.024316109,-0.007246377,-0.041860465,-0.056265985,-0.084745763,-0.062615101,-243.18,30.24,-38.05,263.2,259.1,-0.245298707,37.59712453,14.0952381,18.85714286,-0.008103879,-0.020143022
1634411,0.005617978,0.001805054,0.011086475,-0.001724138,0,-0.010903427,0.003649635,0.038834951,0.005420054,0.027777778,0.013752456,-23.99,19.7,-15.4,262.925,259.6333333,-1.097825857,38.25949154,18.3982684,15.52958153,-0.009244237,-0.000711753
1724965,0.005586592,0.010810811,0.003289474,0.003454231,0.022321429,0.001574803,0.003636364,-0.004672897,0.029649596,0.003603604,-0.001937984,-353.44,38.2,14.42,262.775,260.0416667,-1.713363358,38.95726233,31.73160173,21.40836941,0.020754138,-0.008759227
699691,-0.019444444,-0.017825312,-0.009836066,-0.018932874,0,0.001572327,-0.007246377,-0.009389671,0.006544503,0.032315978,0.013592233,-41.08,15.37,4.79,262.925,260.525,-2.255868655,38.03149748,51.13636364,33.75541126,0.016566101,0.010553762
996637,0.042492918,0.02722323,0.01986755,0,0.034934498,0.034536892,0.003649635,0.009478673,0.023407022,0.031304348,0.024904215,-12.15,39.29,67.21,263.525,261.1666667,-2.136681994,46.86950132,68.98148148,50.61648228,0.006565986,0.001584177
2298969,0.013586957,0.008833922,-0.002164502,-0.001754386,-0.008438819,0.003034901,0.018181818,-0.009389671,-0.007623888,-0.016863406,-0.013084112,583.2,-0.81,1.35,264.6,261.8166667,-1.141459602,57.8304103,87.59259259,69.23681257,-0.013660331,0.003573116
3301955,0,0.012259194,-0.018438178,-0.005272408,0.004255319,0,0.003571429,0.004739336,0.003841229,0.018867925,0.020833333,1720.57,193.84,6.41,264.95,262.4083333,0.369229846,64.31677402,90.60541311,82.39316239,-0.043514656,-0.060516296
