2308 vloume (thousand),2360,3665,1536,1503,4721,2371,1537,1723,6509,8183,1533,2308 foreign investment (m),2308 investment credit (m),2308 dealer (m),MA20,MA60,MACD,RSI,slowk,slowd,台股大盤收盤價(元),S&P500收盤價
2167850,191.53,252.77,100.25,48.31,66.8,28.55,136.03,111.92,28.43,47.72,61.3,431.26,-18.72,24.63,284.75,278.19,3.08,57.73,65.91,43.4,"17,567.53","3,826.31"
2522977,192.46,249,99.28,48.88,68.42,27.95,135.14,111.92,28.81,47.19,62.1,1030.76,-11.15,34.31,285.23,278.25,3.47,60.43,72.88,60.49,"17,566.66","3,830.17"
4878911,181.25,245.71,100.25,48.69,67.56,27,133.8,111.45,28.1,44.74,60.11,464.94,-9.94,-0.69,286.12,278.5,3.5,57.06,69.26,69.35,"17,222.35","3,871.74"
3604897,174.24,242.88,97.34,47.75,62.99,25.75,133.36,110.98,27.86,44.16,56.33,1115.05,26.04,-38.39,285.93,278.43,3.79,60.24,41.57,61.24,"16,933.78","3,886.83"
3831948,170.97,236.29,94.53,47.56,59.94,24.7,132.03,108.16,27.71,41.23,54.93,-526.16,3.81,-83.03,285.23,278.34,2.83,46.38,24.18,45,"16,843.44","3,915.59"
3674093,167.24,227.82,93.57,47.37,60.13,24.55,132.47,109.1,26.9,44.55,55.83,-682.67,-52.96,-98.29,284.49,278.27,1.43,40.97,10.8,25.52,"16,994.36","3,911.23"
3243776,170.04,237.24,94.24,47.46,60.41,24.6,132.91,111.92,26.47,43.06,54.73,-725.61,-88.84,-27.04,284.32,278.37,0.28,40.65,23.38,19.45,"17,285.00","3,909.88"
2346431,171.44,246.65,97.34,48.03,62.13,25.65,133.36,110.51,27.24,45.27,58.32,381.55,1.7,47.2,283.77,278.45,0.18,49.54,35.36,23.18,"17,235.61","3,916.38"
1249807,169.1,240.06,96.18,48.4,61.46,25.7,133.8,110.98,27.14,42.38,56.33,-153.53,13.34,-36.63,282.81,278.22,-0.36,45.36,30.42,29.72,"16,583.13","3,934.83"
3739189,166.77,230.17,90.37,47.09,58.03,24.25,131.58,107.22,26,38.53,52.54,-1794.56,47.81,-80.62,281.52,277.89,-2.04,36.29,26.33,30.7,"15,902.37","3,932.59"
4908413,155.09,225.94,86.2,45.01,53.08,22.9,127.58,100.63,26.28,36.22,48.66,-426.92,-3.67,-99.19,280.22,277.58,-3.79,33.65,27.1,27.95,"15,670.10","3,931.33"
3432328,167.7,224.06,85.24,45.11,53.27,22.3,128.47,98.28,26.05,37.76,51.25,-379.82,7.74,15.25,278.83,277.25,-5.16,33.44,39.87,31.1,"15,827.09","3,913.97"
2517562,176.58,223.11,84.27,45.58,52.41,22.5,128.47,98.75,26.05,35.89,50.26,-652.39,18.09,-47.2,277.39,277.02,-6.02,35.24,46.43,37.8,"15,353.89","3,906.71"
2330447,168.17,200.99,80.2,45.67,48.22,20.55,125.8,95.93,27.19,32.33,45.23,7.2,28.37,30.56,276.27,276.62,-6.63,35.24,65.41,50.57,"16,145.98","3,876.50"
2550405,174.24,201.93,85.33,47.09,52.98,22.4,127.58,100.63,27.33,35.55,49.71,-176.78,-18.67,47.08,274.63,276.11,-6.42,42.48,80.72,64.19,"16,132.66","3,881.37"
1441924,172.84,196.75,84.75,47.18,53.93,23.35,128.02,100.63,26.95,37.33,52.35,-59.08,0.39,-23.38,273.68,275.8,-6.25,41.85,92.04,79.39,"16,042.36","3,925.43"
2330619,173.31,202.87,86.2,46.9,52.31,23,128.02,100.16,26.76,35.41,51.45,950.62,0.4,-4.18,273.48,275.61,-5.48,48.07,93.17,88.64,"16,302.06","3,829.34"
2500899,170.97,205.23,88.72,47.37,54.22,23.25,128.02,101.1,26.95,36.27,52.84,613.26,-6.07,-4.64,272.91,275.32,-4.2,53.76,90.32,91.84,"16,338.29","3,811.15"
897780,176.58,221.23,88.63,47.09,55.27,23.85,127.14,100.16,27.14,38.82,53.24,-68.12,0.12,-5.16,272.52,275.26,-3.45,50.76,91.77,91.75,"16,595.67","3,901.82"
1357905,179.85,218.41,89.59,47.46,56.03,23.8,128.02,101.57,27.95,39.35,55.53,477.05,-0.29,13.05,271.95,275.19,-2.45,54.2,87.75,89.95,"16,643.69","3,870.29"
865469,176.58,219.35,88.24,47.84,55.93,24.35,128.47,101.57,27.48,38.77,54.83,155.44,16.53,19.64,271.37,275.39,-1.63,54.2,94.57,91.36,"16,601.61","3,819.72"
3330361,180.32,220.76,89.11,47.56,56.22,25,126.69,99.69,27.76,38.2,55.23,175.81,4.9,3.99,270.85,275.45,-0.71,56.65,87.5,89.94,"16,870.86","3,768.47"
1223400,179.38,226.88,89.69,48.12,57.65,24.9,128.02,102.04,29.53,39.01,56.13,-297.62,-38.48,-19.15,270.34,275.56,-0.13,54.84,90.67,90.91,"17,068.43","3,841.94"
1742238,176.11,229.23,90.95,48.22,58.79,24.85,127.58,101.1,28.91,39.26,56.33,416.18,-1.73,12.96,270.61,275.82,0.67,58.08,90.67,89.61,"17,162.38","3,821.35"
1164678,176.58,231.59,91.72,48.5,58.98,24.85,130.69,102.04,29.72,43.15,56.82,263.44,8.32,7.54,271.32,276.19,1.37,58.79,97.56,92.96,"17,165.04","3,875.44"
1722333,176.11,225.94,91.82,48.97,59.94,25,130.25,102.51,29.38,44.26,56.23,524.17,13.34,61.7,272,276.62,2.01,59.88,90.95,93.06,"17,246.16","3,898.81"
2789626,181.72,224.06,91.43,49.35,59.08,25.1,129.36,103.92,30.05,43.68,55.93,-123.26,11.07,-6,272.16,277.15,2.38,58.22,83.02,90.51,"17,147.41","3,939.34"
1402618,179.85,222.64,91.92,49.06,58.32,24.85,128.91,104.39,29.77,41.66,54.44,404.51,-0.11,11.04,272.62,277.66,2.64,58.22,70.24,81.4,"17,083.91","3,943.34"
1475318,180.78,223.11,90.37,48.5,58.6,24.7,130.25,104.39,29.53,40.7,53.74,627.56,30.17,7.22,273.89,277.92,2.82,58.22,67.06,73.44,"17,076.21","3,968.94"
783839,183.12,217.94,91.92,48.5,58.89,25.15,130.69,102.98,29.43,40.99,55.03,177.61,5.65,-5.6,275.33,278.13,2.96,58.7,50,62.43,"16,966.22","3,962.71"
1599259,184.99,221.23,91.05,48.59,57.75,24.9,129.8,102.51,29.05,40.7,54.53,-4.72,355.18,-26.72,276.79,278.41,2.85,55.29,39.65,52.24,"17,159.22","3,974.12"
1108086,187.79,225.94,95.99,48.78,58.13,24.9,130.25,102.51,28.76,40.84,54.83,49.27,0,7.67,278.23,278.64,2.72,55.29,35.61,41.75,"17,213.52","3,915.46"
865941,186.39,223.11,95.11,48.4,58.32,24.85,130.69,102.04,29.81,41.37,54.93,155.07,6.23,38.24,279.93,278.93,2.71,57.03,48.26,41.17,"17,371.29","3,913.10"
2348008,185.45,224.53,93.76,48.4,59.27,25.3,130.69,103.92,30.48,40.99,53.34,710.61,82.45,86.14,281.3,279.17,3.09,62.74,62.63,48.83,"17,307.86","3,940.59"
1493928,186.86,225,93.95,49.25,58.51,25.45,131.58,103.45,29.77,40.22,52.25,512.98,-0.16,96.94,282.55,279.43,3.43,63.68,58.55,56.48,"17,390.61","3,910.52"
1270078,184.99,228.29,93.95,49.16,59.17,25.35,132.47,102.51,30.48,41.66,52.84,148.25,41.93,-35.49,283.44,279.63,3.39,58.13,50.06,57.08,"17,318.54","3,889.14"
3068928,181.72,231.12,95.79,49.91,59.65,24.9,132.91,102.04,30.86,40.65,52.15,709.22,-116.81,6.59,283.68,279.73,3.32,58.13,28.98,45.86,"17,062.98","3,909.52"
1814127,182.18,230.65,97.34,49.72,58.13,23.7,131.58,101.57,31.44,38.73,51.65,-1.76,8.04,-40,284.2,279.89,2.81,50.15,22.02,33.69,"17,075.55","3,974.54"
1814249,180.32,239.12,97.34,49.63,57.94,23.85,132.47,101.57,31.05,39.01,51.95,656.23,88.21,-37,284.49,280.09,2.53,52.69,16.67,22.56,"17,336.71","3,971.09"
1606933,182.71,257.48,105.58,51.32,60.99,24.3,132.47,103.92,31.53,41.71,57.12,-406.41,19.24,194.61,284.49,280.12,2.28,52.69,16.14,18.28,"17,407.96","3,958.55"
3090795,187.97,250.42,106.54,51.8,62.89,24.2,132.91,104.39,31.67,41.04,62.79,-1002.53,-84.68,34.57,284.56,280.23,1.6,44.75,25.66,19.49,"17,502.99","3,972.89"
2419535,183.19,248.53,108.48,51.51,69.18,24.05,133.8,106.27,33.39,43.49,62.89,-7.67,162.54,89.5,284.83,280.3,1.43,51.33,40.74,27.51,"17,590.97","4,019.87"
1051371,182.23,249.47,110.42,51.8,66.32,24,134.69,109.1,34.15,46.38,61.3,224.24,14.85,3.26,284.99,280.49,1.43,53.71,68.06,44.82,"17,598.19","4,077.91"
1602227,181.75,247.12,107.51,50.85,70.9,25.3,134.25,106.27,37.54,50.99,61.2,527.12,238.7,4.65,285.28,280.61,1.61,56.56,82.5,63.77,"17,755.46","4,073.94"
2192340,183.19,243.83,104.12,50.01,69.56,24.7,133.8,107.69,41.26,49.74,60.31,675.99,119.08,50.75,285.23,280.6,2,60.26,76.94,75.83,"17,713.94","4,079.95"
1455398,189.88,237.71,101.7,49.63,66.8,24.55,133.36,108.63,40.26,49.84,58.22,-333.2,129.41,-11.67,285.33,280.61,1.86,52.68,63.72,74.39,"17,710.15","4,097.17"
1976935,185.1,241.94,103.64,49.63,70.32,24.4,133.36,110.04,44.27,51.67,61,309.76,34.09,24.8,285.67,280.72,1.85,54.36,61.78,67.48,"17,919.33","4,128.80"
1242598,188.45,243.83,105.09,50.38,77.28,24.5,134.25,110.04,48.66,53.49,65.18,541.73,53.17,62.21,285.98,280.79,2.2,59.54,72.19,65.9,"17,913.07","4,127.99"
770131,187.01,249.47,104.12,50.19,74.99,24.25,134.25,109.1,49.23,51.86,64.19,241.89,3.64,20.91,286.27,280.99,2.41,58.82,83.33,72.43,"17,850.69","4,141.59"
951570,187.49,256.06,107.03,50.01,73.94,24.35,134.25,107.22,45.89,50.51,62.89,488.33,-9.71,4.21,286.58,281.14,2.54,58.82,72.92,76.15,"17,866.09","4,124.66"
1276186,185.58,250.27,107.03,49.82,73.75,24.8,134.25,108.63,47.7,51.09,62.6,-162.51,8.34,-18.74,286.58,281.2,2.47,55.7,48.86,68.37,"17,661.48","4,170.42"
1586934,187.97,248.33,104.61,49.91,72.52,24.6,134.69,108.63,49.13,50.03,61.4,-453.12,3.84,-45.35,286.72,281.26,1.89,46.98,38.45,53.41,"17,814.33","4,185.47"
872164,197.53,251.24,100.25,50.1,79.76,24.4,137.36,109.1,54,53.11,63.69,232.41,57.2,0.92,286.96,281.43,1.75,52.52,43.77,43.69,"17,847.52","4,163.26"
4224145,192.27,247.36,100.25,49.82,85.19,24.15,135.58,106.75,53.52,51.47,61.6,1509.21,0.85,134.42,287.92,281.83,2.2,60.02,72.96,51.73,"17,845.75","4,134.94"
5820461,194.19,244.94,97.83,49.35,81.38,23.95,135.58,106.75,51.52,51.57,60.51,1086.9,608.21,201.7,288.93,282.04,3.75,70.66,77.84,64.86,"18,034.19","4,173.42"
5979621,192.75,243.97,99.76,50.48,84.62,24.45,136.47,107.69,55.62,51.09,60.61,-270.5,73.27,8.94,289.89,282.33,4.73,67.63,73.85,74.89,"17,895.25","4,134.98"
2199356,201.36,244.45,98.31,50.57,83.28,24.3,137.8,107.69,56.38,50.51,60.51,377.33,31.63,8.06,290.56,282.57,5.37,66.41,48.49,66.73,"17,789.25","4,180.17"
3841411,202.8,241.54,98.31,50.67,83.38,24.1,137.8,106.75,62.01,50.8,59.41,-1668.74,84.39,38.41,291.01,282.71,4.93,54.23,30.44,50.93,"17,528.74","4,187.62"
1895485,195.62,231.84,96.86,50.1,84.05,23.9,136.92,105.33,63.06,47.24,57.62,-306.3,6.9,-69.07,291.76,282.92,4.33,51.96,20.01,32.98,"17,458.79","4,186.72"
1594206,196.1,234.75,100.25,51.04,91,23.9,137.36,106.75,64.49,48.11,57.62,109.55,0.92,94.85,292.65,283.03,4.28,56.65,22.58,24.34,"17,572.33","4,183.18"
1830092,196.1,237.66,98.8,50.95,88.43,23.95,137.8,105.8,60.77,51.19,58.81,103.32,1.63,-24.44,293.34,283.09,3.96,53.82,34.6,25.73,"17,572.92","4,211.47"
926013,194.66,240.09,97.83,51.42,84.84,24.05,140.47,105.33,58.86,51.38,59.41,225.87,-81.47,-0.07,293.7,283.12,3.74,54.63,27.24,28.14,"17,403.56","4,181.17"
1307295,197.53,246.39,97.34,50.85,85.32,23.9,142.25,106.27,59.34,52.44,59.71,-741.22,-26.91,-39.64,293.59,282.98,3.14,49.9,19.35,27.06,"17,269.87","4,192.66"
2058779,195.14,240.57,95.5,50.67,80.29,24,141.36,105.33,54.38,49.74,58.22,-1035.14,2.34,50.9,293.32,283.07,2.09,44.13,10.39,18.99,"17,135.22","4,164.66"
1801806,187.49,242.51,94.05,50.57,78.16,24,140.92,103.92,54.38,48.01,56.53,-34.46,-110.69,26.78,293.29,283.28,1.24,44.13,14.9,14.88,"17,402.81","4,167.59"
1949963,190.36,243.48,94.53,50.85,79.62,25.7,140.03,105.33,52.66,49.93,57.32,-534.9,-16.49,-32.45,292.96,283.43,0.52,43.71,16.32,13.87,"17,247.41","4,201.62"
2086862,187.97,249.3,94.24,50.38,77.39,26.05,139.14,104.39,50.66,48.2,56.23,-1022.87,-23.31,-2.3,292.4,283.41,-0.4,40.03,15.84,15.69,"17,503.28","4,232.60"
1630063,185.58,248.33,95.11,50.76,81.45,27.25,139.58,105.8,51.52,47.58,56.53,-497.08,-16.58,31.57,291.88,283.49,-1.12,40.03,19.28,17.15,"17,553.76","4,188.43"
2378047,185.1,243.48,94.63,50.19,80.87,27.4,139.58,105.8,52.38,48.01,56.92,-771.65,-237.23,-4.74,291.31,283.82,-1.63,40.68,24.01,19.71,"17,623.89","4,152.10"
1484929,181.75,242.51,95.71,50.1,78.74,26.7,140.47,105.8,51.8,47.67,57.02,-359.56,-108.23,14.01,290.87,284.26,-2.09,39.76,28.55,23.95,"17,603.12","4,063.04"
1015950,177.92,243.97,97.57,49.53,83.87,27,140.92,104.86,56.96,48.78,56.72,-214.39,-73.04,2.17,290.64,284.67,-2.38,40.48,22.84,25.14,"17,526.28","4,112.50"
1500256,180.79,240.09,96.98,49.25,85.42,27.2,140.03,104.39,60.26,50.42,56.43,-899.18,-3.99,-16.45,290.02,284.99,-2.74,38.49,21.4,24.27,"17,485.15","4,173.85"
1544989,178.88,240.09,95.02,48.97,84.36,26.2,138.69,104.39,58.8,48.88,54.73,-549.21,-56.02,-40.12,288.87,285.26,-3.27,35.22,12.24,18.83,"17,323.64","4,163.29"
1474328,173.14,233.78,92.57,48.88,92.77,25.9,135.14,104.86,60.26,48.78,53.64,-635.51,19.18,-71.35,287.05,285.43,-3.91,32.27,17.42,17.02,"17,227.18","4,127.83"
1264513,168.84,231.36,92.08,48.69,84.45,25.5,134.69,103.45,54.23,46.13,53.04,-193.76,5.04,-19.03,285.18,285.55,-4.22,35.59,15.17,14.95,"17,219.94","4,115.68"
1685142,172.19,231.36,92.77,48.59,92.87,26.3,134.22,102.98,55.69,47.41,53.44,-773.37,-3.32,-1.64,283.24,285.52,-4.68,32.58,22.06,18.22,"16,982.11","4,159.12"
2055382,171.23,226.02,93.55,48.31,91.61,26.55,131.84,102.51,52.48,45.5,52.15,-212.35,-124.67,-17.65,282.09,285.44,-5.19,30.59,34.56,23.93,"16,858.77","4,155.86"
1701632,171.71,223.6,90.61,48.59,100.61,24.95,132.31,102.51,50.93,42.47,50.36,216.78,-170.19,7.15,280.24,285.15,-5.14,38.66,32.22,29.61,"16,661.36","4,197.05"
3730004,167.88,211.47,90.22,48.12,102.06,25.15,133.26,102.51,49.18,41.05,49.96,-1557.59,3.67,-58.15,278.33,284.86,-6.36,27.12,39.91,35.56,"16,826.27","4,188.13"
3639151,173.62,213.41,92.57,48.59,112.22,25.65,132.79,101.57,52.58,43.44,52.25,-994.31,18.96,18.51,276.67,284.6,-6.86,33.42,36.28,36.14,"16,375.40","4,195.99"
2830747,169.79,210.02,91.59,47.56,123.34,26.3,130.88,99.45,49.76,41.1,50.16,508.41,20.18,-28.28,274.67,284.19,-7.01,35.8,45.51,40.57,"16,341.94","4,200.88"
2015400,169.79,207.59,90.32,47.56,122.37,28,131.36,98.97,52.29,42.76,49.96,-955.48,9.03,-32.67,273.25,283.93,-7.52,32.08,50.58,44.12,"16,741.84","4,204.11"
1634796,171.23,210.5,93.06,48.59,129.63,27.85,131.84,100.9,57.44,44.72,51.55,294.84,-371.79,24.26,272.08,283.56,-7.29,39.93,54.49,50.19,"16,818.73","4,202.04"
1258107,170.75,223.6,91.89,48.59,131.56,28.35,131.36,103.31,59.09,43.3,51.75,-310.34,-38.59,13.19,271.37,283.33,-7.18,38.56,75.81,60.29,"17,045.86","4,208.12"
1652354,172.66,226.99,94.83,48.4,118.5,28.25,131.36,103.31,57.54,44.18,53.04,208.96,8.27,9.56,270.64,283.05,-6.27,47.73,79.05,69.78,"17,066.96","4,192.85"
1611480,173.14,214.87,92.67,47.93,119.47,28.3,131.84,102.83,58.71,44.62,51.65,-227.01,-30.69,-8.77,270.25,282.85,-5.57,46.93,84.83,79.9,"17,209.93","4,229.89"
1452542,171.23,210.99,93.06,48.4,121.41,29.4,131.84,103.79,58.22,43.35,51.45,167.68,-68.36,52.43,269.89,282.65,-4.76,49.21,81.18,81.69,"17,396.52","4,226.52"
946801,173.62,214.38,92.97,48.97,121.41,30.3,131.84,104.76,58.02,42.66,51.45,-140.59,-1.4,-5.46,269.06,282.3,-4.03,49.68,69.24,78.41,"17,490.29","4,227.26"
3736856,171.71,220.69,93.85,49.16,124.31,30.55,131.84,104.76,58.41,42.71,50.95,-1444.74,-80.07,6.31,268.35,281.98,-4.12,42.19,56.19,68.87,"17,473.99","4,219.55"
1823920,174.1,228.45,93.94,49.25,119.96,31.7,131.84,103.79,58.61,43.39,52.74,148.24,-38.08,8.03,267.44,281.63,-4.02,43.71,36.99,54.14,"17,319.76","4,239.18"
1412638,170.27,228.45,94.04,48.97,121.41,29.75,131.36,103.79,56.47,42.56,51.25,-129.95,-104.47,-18.77,266.81,281.34,-4.17,41,41.28,44.82,"17,516.92","4,247.44"
1481865,171.71,229.42,94.53,49.44,116.57,29.65,132.31,104.76,55.11,41.98,51.45,175.17,-42.56,18.91,266.42,281.05,-3.97,44.7,48.66,42.31,"17,495.30","4,255.15"
1469135,175.53,224.08,94.43,49.06,118.5,28.6,131.84,103.31,54.14,40.7,50.06,581.19,-139.29,5.36,266.1,280.64,-3.65,46.25,59.66,49.87,"17,428.87","4,246.59"
1487914,172.19,226.99,92.97,48.78,113.67,28.85,131.84,101.86,55.69,40.41,49.76,387.7,-84.57,-11.96,265.64,280.2,-3.51,44.46,59.66,55.99,"17,270.49","4,223.70"
1120810,168.36,232.33,90.12,47.84,116.09,27.9,131.84,100.41,53.65,40.7,48.76,75.47,-91.97,-57.28,265.29,279.8,-3.44,43.55,47.45,55.59,"17,304.33","4,221.86"
880037,170.27,230.87,90.22,47.84,122.86,28.6,131.36,100.9,55.98,41.39,49.16,-62.52,-17.79,-2.24,265.05,279.39,-3.43,42.61,35.42,47.51,"17,474.57","4,166.45"
1245125,169.32,229.9,94.14,48.03,119.96,28.5,130.41,102.83,56.37,43.15,49.86,-239.95,-163.28,-0.31,264.29,278.98,-3.41,42.12,22.6,35.16,"17,446.31","4,224.79"
2176158,169.32,230.87,93.26,48.22,123.82,29.1,131.36,104.28,55.6,42.66,50.16,-1062.17,-97.5,-2.53,264.37,278.54,-3.79,37.08,16.35,24.79,"17,434.90","4,246.44"
1131517,169.79,230.87,94.53,50.1,119.47,29.25,132.31,106.21,58.12,41.78,49.66,96.97,-276.15,-5.53,263.93,278.01,-4.05,37.08,8.01,15.65,"17,354.00","4,241.84"
1884240,168.84,230.87,95.02,48.78,116.09,29.65,131.36,109.1,57.44,41.58,49.41,-455.37,72.24,-106.51,263.49,277.6,-4.63,32.56,10.83,11.73,"17,278.70","4,266.49"
1141329,168.84,232.81,93.85,49.17,111.73,30.4,131.36,108.62,55.21,41.1,48.12,-301.34,12.48,-14.61,263.15,277.05,-4.88,35.63,8.97,9.27,"17,276.79","4,280.70"
2212429,175.05,241.06,94.34,49.36,113.67,33.4,132.31,110.07,55.89,41.98,48.96,-397.82,-58.06,2.56,262.17,276.37,-5.33,32.45,16.72,12.17,"16,925.82","4,290.61"
3265428,171.23,240.09,91.3,48.78,110.28,31.65,131.36,107.17,54.72,40.66,48.32,-445.5,3.61,-54.97,261.36,275.68,-6.09,28.36,20.88,15.52,"17,078.22","4,291.80"
1057386,172.19,240.57,91.4,48.98,110.77,34.8,131.84,106.21,55.11,40.95,48.32,-13.33,3.27,-2.5,260.51,275.07,-6.49,30.71,41.31,26.3,"17,260.19","4,297.50"
2190362,169.79,242.51,91.1,48.88,112.22,34.1,131.36,106.21,55.5,41.49,48.46,257.4,-43.94,21.07,259.61,274.51,-6.08,42.28,53.26,38.48,"17,313.77","4,319.94"
1590116,174.58,235.72,91.79,48.88,112.7,33.75,131.84,106.69,55.3,41.14,48.76,-94.69,-51.43,-7.46,258.31,273.84,-5.84,40.56,53.79,49.45,"17,181.44","4,352.34"
1770076,172.66,222.63,89.93,49.17,111.25,32.65,131.84,107.66,54.14,40.17,48.46,-282.04,-2.05,-0.49,256.8,273.03,-6.01,36.21,33.56,46.87,"16,855.46","4,343.54"
2030943,166.45,215.35,87.28,48.59,106.9,32.65,131.84,118.28,52.68,38.31,47.07,-304.16,24.13,-69.42,255.89,272.28,-6.39,33.4,22.2,36.51,"16,934.77","4,358.13"
1842595,168.36,216.81,89.14,49.17,111.73,32.7,131.84,112.97,53.07,39.14,46.32,-25.7,22.98,1.18,254.72,271.46,-6.34,37.94,16.39,24.05,"16,570.89","4,320.82"
1589245,170.27,216.81,86.7,48.49,103.51,32,130.88,108.62,50.06,36.99,42.99,-361.34,22.32,1.92,253.33,270.55,-6.55,35,15.64,18.08,"16,408.35","4,369.55"
1839491,170.75,238.15,85.13,48.39,103.03,32.35,130.88,107.66,50.35,35.42,40.8,-627.36,26.43,1.31,252.01,269.82,-7.25,30.01,23.98,18.67,"16,460.75","4,384.63"
2309186,173.14,237.18,87.28,48.59,109.31,33.45,130.88,105.72,51.9,36.89,42.39,-200.41,35.28,36.15,250.6,269.01,-7.33,36.14,34.05,24.56,"16,393.16","4,369.21"
1447801,181.75,240.09,86.3,48.44,105.44,34,130.88,110.55,52.68,36.4,42,-150.61,-30.32,-17.51,249.47,268.15,-7.35,35.8,57.02,38.35,"16,713.86","4,374.30"
983206,181.75,246.88,87.58,49.36,112.7,33.9,130.88,112.97,53.26,37.96,43.09,93.68,-19.13,47.98,248.5,267.06,-6.97,40.59,68.48,53.18,"16,640.43","4,360.03"
1048757,177.92,247.85,86.6,49.46,114.63,33.75,131.84,115.38,53.55,38.26,43.49,90.18,2,-4.76,247.4,265.96,-6.44,42.88,73.69,66.4,"16,462.84","4,327.16"
1191750,176.01,241.06,87.68,48.49,117.05,33.65,130.88,114.41,55.11,37.62,42.79,-171.91,2.75,-2.3,246.3,264.86,-6.22,39.98,65.63,69.27,"16,347.99","4,258.63"
1027513,175.53,245.42,87.87,48.59,115.12,34.6,131.36,112.97,54.33,37.13,41.65,-15.28,12.11,4.07,244.93,263.77,-6.02,39.56,37.5,58.94,"16,387.28","4,323.21"
2342473,170.75,239.12,88.17,48.44,111.73,34.55,131.36,113.45,53.17,37.08,41.35,-938,-43.3,1.38,243.78,262.8,-6.65,31.79,26.58,43.23,"16,781.19","4,358.69"
2319678,174.1,256.09,89.05,48.98,120.92,35.8,131.36,115.86,54.91,38.16,42.24,-66.24,-16.52,2.58,243.37,261.88,-6.71,37.22,34.3,32.79,"16,705.46","4,367.48"
2890671,172.19,250.76,87.77,48.98,118.99,35.25,131.84,115.86,54.91,38.5,46.42,-356.04,910.04,-13.08,243.32,261.16,-5.95,46.85,64,41.62,"16,900.67","4,411.80"
2890676,177.92,251.73,89.44,49.95,120.92,34.3,131.36,116.34,59.29,39.92,51.05,-635.85,879.38,39.22,243.25,260.35,-4.54,54.39,78.33,58.88,"16,887.82","4,422.23"
2439247,175.05,257.55,89.93,50.34,125.28,33.85,131.36,115.86,59.68,39.68,55.73,-747.21,10.27,14.18,243.39,259.61,-3.74,50.72,76.36,72.9,"16,889.51","4,401.46"
1526079,175.05,250.27,89.34,50.53,123.34,34.7,132.31,117.31,58.61,40.17,56.03,-184.69,-12.58,-22.79,243.03,258.82,-3.18,49.52,50,68.23,"16,888.74","4,400.65"
2170730,172.19,252.21,88.95,50.14,125.28,34.25,134.22,114.9,59.97,40.66,54.93,-617.81,-33.39,-3.78,242.17,258.02,-3.41,42.96,28.14,51.5,"16,894.24","4,419.15"
1354834,166.92,257.06,90.03,50.14,137.37,34,136.12,122.14,65.9,41.34,60.41,-308.22,-13.58,0.1,241.51,257.25,-3.67,41.96,12.38,30.17,"17,034.34","4,395.26"
1613179,174.1,260.94,92.77,50.53,139.3,33.4,136.12,117.31,66.09,41.88,57.82,4.89,13.2,-13.02,241.12,256.56,-3.68,43.83,15.91,18.81,"17,074.55","4,387.11"
1342121,173.14,255.61,92.38,50.73,144.14,34.7,135.17,118.76,70.76,46.04,59.21,96.09,-41.32,4.36,241.32,256,-3.64,43.83,43.02,23.77,"17,041.63","4,423.15"
2266625,176.49,251.73,92.38,50.73,149.94,34.7,135.64,115.38,70.85,47.46,58.81,544.64,-1.26,15.37,240.98,255.31,-2.94,51.15,46.61,35.18,"16,987.41","4,402.68"
2462073,173.14,248.82,91.79,50.73,164.94,34.4,134.22,119.24,77.85,48.87,60.11,-369.46,-2.7,16.89,241.44,254.84,-2.95,45.21,69.27,52.96,"17,068.24","4,429.10"
2939957,180.32,259,93.36,50.92,171.71,33.7,134.22,121.17,77.76,50.39,59.91,698.34,81.11,10.93,242.03,254.27,-1.95,54.66,58.83,58.23,"17,065.97","4,436.52"
2753456,179.84,254.15,94.73,50.43,162.52,33.55,133.26,117.31,69.98,47.94,56.82,-771.37,383.04,32.67,242.12,253.65,-1.57,50.53,55.02,61.04,"17,122.16","4,432.35"
2310258,180.79,258.03,94.73,50.53,169.78,33.6,132.31,116.83,68.04,46.28,55.83,-820.29,31.12,13.14,242.56,253.19,-1.64,47.05,45.04,52.96,"17,078.86","4,436.75"
2032085,180.79,258.03,96.39,50.63,158.17,33.95,132.79,114.9,65.9,46.67,55.83,497.87,-6.84,2.58,243.22,252.93,-1.18,51.71,57.47,52.51,"17,296.90","4,447.70"
2800741,180.79,262.88,95.61,50.73,160.59,34.2,132.31,112.97,65.7,45.65,55.93,1145.46,-8.65,38.32,243.66,252.6,-0.14,57.03,76.02,59.51,"17,415.30","4,460.84"
1772270,180.79,258.52,93.75,51.02,152.85,34.6,132.31,111.03,65.12,45.11,55.03,-459.83,-12.72,-11.26,244.59,252.43,0.49,55.11,89.81,74.44,"17,541.36","4,468.00"
1882515,179.84,254.15,93.94,51.31,154.78,34.5,132.31,112.97,66.48,45.01,55.23,354.84,-13.7,7.2,245.49,252.28,1.48,58.98,86.54,84.13,"17,559.65","4,479.66"
1692742,182.23,252.21,92.38,51.5,157.68,32.75,132.31,112,64.73,45.6,60.7,223.66,-2.65,-45.85,246.64,251.95,2.16,58.15,72.65,83,"17,452.52","4,448.08"
1178723,179.84,249.79,93.06,51.99,162.52,32.75,131.84,112.48,66.09,44.81,60.7,-596.22,-2.59,-3.57,247.67,251.94,2.2,53.29,51.44,70.21,"17,518.13","4,400.27"
982134,180.32,249.79,91.99,51.7,158.65,32.4,131.84,112.48,65.7,45.35,59.11,27.14,-8.87,14.87,248.18,251.82,2.36,54.65,28.5,50.86,"17,634.47","4,405.80"
