date,2308 adjclose,2308 vloume (thousand),2360,3665,1536,1503,4721,2371,1537,1723,6509,8183,1533,2308 foreign investment (m),2308 investment credit (m),2308 dealer (m),MA20,MA60,MACD,RSI,slowk,slowd,taiwan_index,SP500
2011/8/12,57.2918,1080523,0.019607031,0.011153287,-0.015816399,0.02134437,-0.005567838,-0.039711191,-0.019304943,0.009287851,0.01464872,-0.030715532,-0.030121747,-430.45,3.57,20.56,68.203805,70.10613333,-2.249510538,30.73244089,15.46071252,19.50101538,-0.010632082,0.005261632
2011/8/15,58.6841,960225,-0.027471411,0.066174961,0.028117969,-0.008956418,0.001868449,0.003759398,0.017714449,-0.012269841,0.021665698,0.015844436,-0.018632378,-479.4,-0.58,-30.53,67.6924,69.80866667,-2.777267394,26.32446188,18.2267339,20.07343875,0.023879733,0.021784681
2011/8/16,56.9438,419366,0.009886593,-0.010339431,-0.011717908,0.007531134,0.020482994,0.018726592,0.021278533,0.015527826,0.017668662,0,0.029535103,14.92,37.85,-8.85,67.14368,69.5595,-3.048035672,30.77951746,8.562193712,14.08321338,-0.002660054,-0.009738562
2011/8/17,55.6211,832606,0.009789805,0.024389938,0,-0.001494968,0.007297733,0.011029412,0.034090777,-0.00917424,0.062495264,-0.007798653,-0.012292686,-318.86,2.62,1.88,66.46256,69.27724333,-3.364267962,28.46274899,9.462702012,12.08387654,-0.007287215,0.000947383
2011/8/18,52.5581,838632,-0.016619818,-0.013610526,0.019765045,-0.01197765,-0.021740735,0,0,-0.024691161,0.026146879,0.00785995,0.020742794,-280.53,13.58,5.19,65.545465,68.97154667,-3.679203598,26.81095807,2.789892805,6.938262843,-0.016377413,-0.044593723
2011/8/19,49.2167,935575,-0.014085904,-0.001720134,-0.019381959,-0.009087773,0.007412157,0.010909091,0.01098897,-0.02848078,0.035028278,-0.012481576,-0.040647381,-418.65,2.64,6.42,64.37847,68.57702833,-4.128361675,23.42127501,3.326030372,5.192875063,-0.03572043,-0.015008986
2011/8/22,49.0774,1344540,-0.014285139,0.00863415,-0.05533558,-0.022938812,-0.025736074,-0.053956835,-0.052537891,-0.035831369,-0.046147777,-0.056867561,-0.06991915,-209.63,2.4,5.59,63.25421,68.16362333,-4.699769723,20.39240058,5.632016511,3.915979896,-0.004135934,0.000258115
2011/8/23,52.4885,913171,0.002898432,-0.041099016,-0.004191492,-0.004695471,-0.018870342,0.003802281,-0.02676859,-0.060810347,-0.064518968,0.00166266,-0.04099981,-74.31,-2.19,19.53,62.31095,67.80707,-5.105007712,20.27468548,20.76816451,9.908737132,0.032497378,0.03428485
2011/8/24,53.0454,778668,0.049132983,0.005357568,0.008406674,0.053461856,0.01154258,0.011363636,0.025542235,0.028776745,0.03103218,0.04349739,0.06650665,123.51,-42,13.12,61.43034,67.43219,-5.092214596,30.80763561,46.39628144,24.26548749,-0.00626471,0.013119972
2011/8/25,53.2543,875704,-0.020660315,-0.005329017,-0.004162546,-0.017912836,0.015205886,0.052434457,-0.017243272,0.006992952,0,-0.009620913,-0.028950281,-72.77,-42.52,7.7,60.507965,67.04974833,-4.979735492,32.37838456,70.83969173,46.00137923,-0.012269873,-0.015565557
2011/8/26,55.7603,421778,0.015470524,0.003576,-0.008371438,0,0.011233598,-0.03202847,0,0.00694439,-0.043473104,-0.0064827,-0.004586255,-19.2,12.39,-5.05,59.745695,66.73116,-4.818197328,32.99287551,87.46272423,68.23289913,0.004618891,0.015121585
2011/8/29,57.7791,628924,0.004154954,0.017790652,-0.004215233,0.021279485,0.001854611,0,-0.009744574,-0.006896498,-0.017483285,0.008141641,-0.036870045,134.57,37.89,8.73,58.94514,66.42965333,-4.436819025,40.03284399,92.10493137,83.46911578,0.01785201,0.028280082
2011/8/30,57.7791,751723,0.013792541,-0.006989352,0.016943999,-0.010418052,-0.014784322,0.007352941,0,0,0.024910203,0.029096389,0.009573215,100.68,93.96,7.97,58.196795,66.15023333,-3.926412446,45.0421375,92.29614561,90.62126707,0.008997085,0.002346952
2011/8/31,59.1714,735958,-0.004081468,-0.028173212,0,-0.007519807,-0.007152775,-0.069343066,0,-0.003472195,0.020828597,-0.011001596,0.011848822,145.83,73.7,-5.06,57.53547,65.95475833,-3.48177581,45.0421375,92.2301315,92.21040283,0.012446722,0.004922006
2011/9/1,59.8675,582310,0,0.02536213,-0.004162546,0.00909214,0,-0.019607843,0.001966481,0.010452879,0.010206449,0.003170144,-0.016398554,95.88,15.9,-4.25,57.01337,65.79849333,-2.98266875,48.48415258,90.79437052,91.77354921,0.002118491,-0.011871457
2011/9/2,59.8675,656978,-0.020490975,-0.003531725,0.004179945,-0.001501703,0,0.024,0.015717061,-0.010344747,0,0.006339174,0.038099228,229.79,37.93,-20.04,56.679225,65.63670667,-2.502110583,50.16467281,86.08740391,89.70396864,-0.0000902,-0.025281878
2011/9/5,57.7791,401116,-0.033473387,-0.007094871,-0.004162546,-0.007519807,-0.002123442,-0.01953125,-0.009669181,-0.010452879,0,0.001579511,-0.01376422,97.35,2.49,-10.75,56.470385,65.445635,-2.097090817,50.16467281,59.99084253,78.95753899,-0.026490707,-0.007436306
2011/9/6,55.273,368245,-0.062048572,-0.023211839,-0.020922821,-0.022725982,-0.019106642,-0.027888446,-0.001955116,-0.031689889,-0.02693915,-0.014136863,-0.032557368,-27.14,15.85,-9.38,56.10143,65.19623,-1.922465178,45.05115003,31.01870339,59.03231661,-0.024416115,0.028646459
2011/9/7,55.6907,740974,0.038462122,-0.042048567,0.021369941,-0.009303573,-0.004325713,-0.069672131,-0.007827773,-0.032727004,-0.017292481,-0.006360451,-0.06971228,8.5,0.79,0.87,55.88911,64.94274333,-1.963658593,39.80725663,10.66609638,33.89188077,0.021964955,-0.010612204
2011/9/8,55.5515,357060,0.037035491,0.030539021,-0.008371438,0,0.015212354,0.026431718,0,-0.007518733,0.01408126,0,-0.043928363,-25.12,0.56,7.2,55.63502,64.67589333,-1.940233963,41.03912042,9.511474278,17.06542468,0.002571387,-0.026705456
2011/9/9,54.9946,461089,0.018572693,-0.016667889,0.004215233,0.001565157,0.002146187,-0.004291845,-0.001970364,0.022727078,0,0.017612787,0.010815153,-81.32,-1.2,-1.92,55.52016,64.39424,-1.910874677,40.7398954,13.83861386,11.33872817,0.00824019,0.006965683
